,제 41 기          2009.01.01 부터 2009.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 43 기 반기,,제 42 기 반기,,제 42 기,제 41 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),3506364,6291102,4276915,8270685,16146525,9760550
4,기타포괄손익,-160080,-403441,1324161,611616,1141484,-661706
5,    매도가능금융자산평가이익,86404,49867,-57258,66466,932384,108217
6,    관계회사 및 조인트벤처 투자 평가,40400,21227,413229,314672,387457,49879
7,    해외사업환산손익,-286884,-474535,968190,230478,-178357,-819802
8,총포괄손익,3346284,5887661,5601076,8882301,17288009,9098844
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,3308765,5806701,5432869,8759425,16901117,9060689
11,    비지배지분,37519,80960,168207,122876,386892,38155
