, ,제 50 기 반기,Unnamed: 2,제 49 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),11043412,22731956,11053851,18738205
2,기타포괄손익,1226240,2149092,2968436,-1963613
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,25783,-151611,-18945,-58159
4,        기타포괄손익-공정가치금융자산평가손익,76999,-97885, , 
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-32047,1324,-1192,-1308
6,        순확정급여부채 재측정요소,-19169,-55050,-17753,-56851
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1200457,2300703,2987381,-1905454
8,        매도가능금융자산평가손익, , ,340151,505306
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,16239,38525,69582,14230
10,        해외사업장환산외환차이,1137662,2224931,2628939,-2380295
11,        현금흐름위험회피파생상품평가손익,46556,37247,-51291,-44695
12,총포괄손익,12269652,24881048,14022287,16774592
13,포괄손익의 귀속, , , , 
14,    지배기업 소유주지분,12188562,24705412,13675417,16266746
15,    비지배지분,81090,175636,346870,507846
