,제 41 기          2009.01.01 부터 2009.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 43 기 1분기,,제 42 기 1분기,,제 42 기,제 41 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),2784738,2784738,3993770,3993770,16146525,9760550
4,기타포괄손익,-243361,-243361,-712545,-712545,1141484,-661706
5,    매도가능금융자산평가이익,-36537,-36537,123724,123724,932384,108217
6,    관계회사 및 조인트벤처 투자 평가,-19173,-19173,-98557,-98557,387457,49879
7,    해외사업환산손익,-187651,-187651,-737712,-737712,-178357,-819802
8,총포괄손익,2541377,2541377,3281225,3281225,17288009,9098844
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,2497936,2497936,3326556,3326556,16901117,9060689
11,    비지배지분,43441,43441,-45331,-45331,386892,38155
