,제 43 기          2011.01.01 부터 2011.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 45 기 1분기,,제 44 기 1분기,,제 44 기,제 43 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),7154941,7154941,5048461,5048461,23845285,13759043
4,기타포괄손익,1225878,1225878,561135,561135,-1717080,-887485
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-8598,-8598,-81618,-81618,-504120,-385214
6,        종업원급여 재측정요소,-8598,-8598,-81618,-81618,-504120,-385214
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1234476,1234476,642753,642753,-1212960,-502271
8,        매도가능금융자산평가손익,264768,264768,695661,695661,962184,-572028
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,15373,15373,-146747,-146747,-350491,-113898
10,        해외사업환산손익,954335,954335,93839,93839,-1824653,183655
11,총포괄손익,8380819,8380819,5609596,5609596,22128205,12871558
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,8166237,8166237,5433545,5433545,21499343,12439116
14,    비지배지분,214582,214582,176051,176051,628862,432442
