, ,제 50 기 3분기,Unnamed: 2,제 49 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),13150715,35882671,11193411,29931616
2,기타포괄손익,-1762131,386961,1868097,-95516
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,327458,175847,-21063,-79222
4,        기타포괄손익-공정가치금융자산평가손익,329267,231382, , 
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,15595,16919,-476,-1784
6,        순확정급여부채 재측정요소,-17404,-72454,-20587,-77438
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-2089589,211114,1889160,-16294
8,        매도가능금융자산평가손익, , ,279139,784445
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-23665,14860,9364,23594
10,        해외사업장환산외환차이,-2060896,164035,1604341,-775954
11,        현금흐름위험회피파생상품평가손익,-5028,32219,-3684,-48379
12,총포괄손익,11388584,36269632,13061508,29836100
13,포괄손익의 귀속, , , , 
14,    지배기업 소유주지분,11209717,35915129,12918043,29184789
15,    비지배지분,178867,354503,143465,651311
