,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 45 기,제 44 기,제 43 기
1,당기순이익(손실),30474764,23845285,13759043
2,기타포괄손익,-1006838,-1717080,-887485
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-213113,-504120,-385214
4,        순확정급여부채 재측정요소,-213113,-504120,-385214
5,    후속적으로 당기손익으로 재분류되는 포괄손익,-793725,-1212960,-502271
6,        매도가능금융자산평가손익,186480,962184,-572028
7,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,20756,-350491,-113898
8,        해외사업장환산외환차이,-1000961,-1824653,183655
9,총포괄손익,29467926,22128205,12871558
10,포괄손익의 귀속, , , 
11,    지배기업 소유주지분,28837590,21499343,12439116
12,    비지배지분,630336,628862,432442
