,제 42 기          2010.01.01 부터 2010.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 44 기 반기,,제 43 기 반기,,제 43 기,제 42 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),5193420,10241881,3506364,6291102,13734067,16146525
4,기타포괄손익,-637092,5661,-160080,-403441,-502271,1141484
5,    매도가능금융자산평가손익,-45363,650298,86404,49867,-572028,932384
6,    관계회사 및 조인트벤처 투자 평가,-71387,-218134,40400,21227,-113898,387457
7,    해외사업환산손익,-520342,-426503,-286884,-474535,183655,-178357
8,총포괄손익,4556328,10247542,3346284,5887661,13231796,17288009
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,4411637,9927160,3308765,5806701,12801542,16901117
11,    비지배지분,144691,320382,37519,80960,430254,386892
