,제 42 기          2010.01.01 부터 2010.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 44 기 3분기,,제 43 기 3분기,,제 43 기,제 42 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),6564927,16806808,3441710,9732812,13734067,16146525
4,기타포괄손익,-134853,-129192,677343,273902,-502271,1141484
5,    매도가능금융자산평가손익,226689,876987,-664687,-614820,-572028,932384
6,    관계회사 기타포괄손익에 대한 지분,9091,-209043,-47439,-26212,-113898,387457
7,    해외사업장환산외환차이,-370633,-797136,1389469,914934,183655,-178357
8,총포괄손익,6430074,16677616,4119053,10006714,13231796,17288009
9,포괄손익의 귀속, , , , , , 
10,    지배기업 소유주지분,6289851,16217012,3873245,9679946,12801542,16901117
11,    비지배지분,140223,460604,245808,326768,430254,386892
