, ,제 50 기 1분기,Unnamed: 2,제 49 기 1분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),11688544,11688544,7684354,7684354
2,기타포괄손익,922852,922852,-4932049,-4932049
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-177394,-177394,-39214,-39214
4,        기타포괄손익-공정가치금융자산평가손익,-174884,-174884, , 
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,33371,33371,-116,-116
6,        순확정급여부채 재측정요소,-35881,-35881,-39098,-39098
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1100246,1100246,-4892835,-4892835
8,        매도가능금융자산평가손익, , ,165155,165155
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,22286,22286,-55352,-55352
10,        해외사업장환산외환차이,1087269,1087269,-5009234,-5009234
11,        현금흐름위험회피파생상품평가손익,-9309,-9309,6596,6596
12,총포괄손익,12611396,12611396,2752305,2752305
13,포괄손익의 귀속, , , , 
14,    지배기업 소유주지분,12516850,12516850,2591329,2591329
15,    비지배지분,94546,94546,160976,160976
