,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 49 기,제 48 기,제 47 기
1,당기순이익(손실),42186747,22726092,19060144
2,기타포괄손익,-5502257,1991400,76071
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,407900,1014040,288047
4,        순확정급여부채 재측정요소,414247,963602,263978
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-6347,50438,24069
6,    후속적으로 당기손익으로 재분류되는 포괄손익,-5910157,977360,-211976
7,        매도가능금융자산평가손익,511207,-23839,-414961
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-49256,-130337,-65330
9,        해외사업장환산외환차이,-6334987,1131536,268315
10,        현금흐름위험회피파생상품평가손익,-37121, , 
11,총포괄손익,36684490,24717492,19136215
12,포괄손익의 귀속, , , 
13,    지배기업 소유주지분,35887505,24310814,18804189
14,    비지배지분,796985,406678,332026
