순위,곡명,아티스트,앨범
1,덤더럼(Dumhdurum),Apink (에이핑크),LOOK
2,아로하,조정석,슬기로운 의사생활 OST Part 3
3,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
4,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
5,ON,방탄소년단,MAP OF THE SOUL : 7
6,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
7,그때 그 아인,김필,이태원 클라쓰 OST Part.6
8,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3
9,아무노래,지코 (ZICO),아무노래
10,WANNABE,ITZY (있지),IT'z ME
11,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
12,METEOR,창모 (CHANGMO),Boyhood
13,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7
14,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album
15,Black Swan,방탄소년단,MAP OF THE SOUL : 7
16,친구,방탄소년단,MAP OF THE SOUL : 7
17,마음을 드려요,아이유,사랑의 불시착 OST Part 11
18,Filter,방탄소년단,MAP OF THE SOUL : 7
19,Moon,방탄소년단,MAP OF THE SOUL : 7
20,시차,방탄소년단,MAP OF THE SOUL : 7
21,Blueming,아이유,Love poem
22,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1
23,반만,진민호,반만
24,Inner Child,방탄소년단,MAP OF THE SOUL : 7
25,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7
26,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
27,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7
28,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
29,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7
30,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
31,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7
32,Dance Monkey,Tones And I,The Kids Are Coming
33,Oh my god,(여자)아이들,I trust
34,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7
35,어떻게 지내,오반,어떻게 지내
36,Respect,방탄소년단,MAP OF THE SOUL : 7
37,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
38,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
39,2002,Anne-Marie,Speak Your Mind (Deluxe)
40,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
41,뜸,WINNER,Remember
42,Obsession,EXO,OBSESSION - The 6th Album
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
44,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
45,HIP,마마무 (Mamamoo),reality in BLACK
46,봄 같던 그녀가 춥대 (Feat. 페노메코),MC몽,X by X [ 결핍 ]
47,Made In You,수호 (SUHO),자화상 - The 1st Mini Album
48,너의 차례 (Feat. 윤하),수호 (SUHO),자화상 - The 1st Mini Album
49,자화상,수호 (SUHO),자화상 - The 1st Mini Album
50,O₂,수호 (SUHO),자화상 - The 1st Mini Album
51,Remember,WINNER,Remember
52,암막 커튼,수호 (SUHO),자화상 - The 1st Mini Album
53,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4
54,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2
55,Maniac,Conan Gray,Maniac
56,안녕,폴킴,호텔 델루나 OST Part.10
57,To Die For,Sam Smith,To Die For
58,Go away go away,찬열 (CHANYEOL),낭만닥터 김사부 2 OST Part.3
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
60,Don't Start Now,Dua Lipa,Future Nostalgia
61,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트
62,Birthday,Anne-Marie,Birthday
63,Love poem,아이유,Love poem
64,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
