, ,제 50 기 반기말,제 49 기말
0,자산, , 
1,    유동자산,156976839,146982464
2,        현금및현금성자산,31362222,30545130
3,        단기금융상품,48717141,49447696
4,        단기매도가능금융자산, ,3191375
5,        단기상각후원가금융자산,3896630, 
6,        매출채권,35013060,27695995
7,        미수금,3133430,4108961
8,        선급금,1505459,1753673
9,        선급비용,4195934,3835219
10,        재고자산,27358767,24983355
11,        기타유동자산,1794196,1421060
12,    비유동자산,161711541,154769626
13,        장기매도가능금융자산, ,7752180
14,        만기보유금융자산, ,106751
15,        상각후원가금융자산,242269, 
16,        기타포괄손익-공정가치금융자산,7436535, 
17,        당기손익-공정가치금융자산,650775, 
18,        관계기업 및 공동기업 투자,6894955,6802351
19,        유형자산,116576140,111665648
20,        무형자산,14999464,14760483
21,        장기선급비용,3621923,3434375
22,        순확정급여자산,458843,825892
23,        이연법인세자산,5006713,5061687
24,        기타비유동자산,5823924,4360259
25,    자산총계,318688380,301752090
26,부채, , 
27,    유동부채,65602323,67175114
28,        매입채무,8410278,9083907
29,        단기차입금,13176014,15767619
30,        미지급금,9591396,13899633
31,        선수금,889635,1249174
32,        예수금,858379,793582
33,        미지급비용,16887561,13996273
34,        미지급법인세,7063097,7408348
35,        유동성장기부채,1859552,278619
36,        충당부채,5959646,4294820
37,        기타유동부채,906765,403139
38,    비유동부채,19961212,20085548
39,        사채,978754,953361
40,        장기차입금,92635,1814446
41,        장기미지급금,1957733,2043729
42,        순확정급여부채,478650,389922
43,        이연법인세부채,13186358,11710781
44,        장기충당부채,581119,464324
45,        기타비유동부채,2685963,2708985
46,    부채총계,85563535,87260662
47,자본, , 
48,    지배기업 소유주지분,225671417,207213416
49,        자본금,897514,897514
50,            우선주자본금,119467,119467
51,            보통주자본금,778047,778047
52,        주식발행초과금,4403893,4403893
53,        이익잉여금,231065173,215811200
54,        기타자본항목,-10695163,-13899191
55,    비지배지분,7453428,7278012
56,    자본총계,233124845,214491428
57,자본과부채총계,318688380,301752090
