,제 47 기          2015.01.01 부터 2015.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 49 기 1분기,,제 48 기 1분기,,제 48 기,제 47 기
2,,3개월,누적,3개월,누적,,
3,수익(매출액),50547526,50547526,49782252,49782252,201866745,200653482
4,매출원가,28155597,28155597,30373858,30373858,120277715,123482118
5,매출총이익,22391929,22391929,19408394,19408394,81589030,77171364
6,판매비와관리비,12493568,12493568,12732582,12732582,52348358,50757922
7,영업이익(손실),9898361,9898361,6675812,6675812,29240672,26413442
8,기타수익,316423,316423,702593,702593,3238261,1685947
9,기타비용,277234,277234,338636,338636,2463814,3723434
10,지분법이익,19338,19338,9147,9147,19501,1101932
11,금융수익,2097152,2097152,3079929,3079929,11385645,10514879
12,금융비용,1889464,1889464,3006360,3006360,10706613,10031771
13,법인세비용차감전순이익(손실),10164576,10164576,7122485,7122485,30713652,25960995
14,법인세비용,2480222,2480222,1869682,1869682,7987560,6900851
15,계속영업이익(손실),7684354,7684354,5252803,5252803,22726092,19060144
16,당기순이익(손실),7684354,7684354,5252803,5252803,22726092,19060144
17,당기순이익(손실)의 귀속, , , , , , 
18,    지배기업의 소유주에게 귀속되는 당기순이익(손실),7488532,7488532,5263506,5263506,22415655,18694628
19,    비지배지분에 귀속되는 당기순이익(손실),195822,195822,-10703,-10703,310437,365516
20,주당이익, , , , , , 
21,    기본주당이익(손실) (단위:원),53656,53656,36356,36356,157967,126305
22,    희석주당이익(손실) (단위:원),53656,53656,36356,36356,157967,126303
