, ,제 49 기 3분기,Unnamed: 2,제 48 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),62048901,173596964,47815633,148535005
2,매출원가,33004119,93559545,29411256,89394232
3,매출총이익,29044782,80037419,18404377,59140773
4,판매비와관리비,14511623,41539352,13204288,39120922
5,영업이익(손실),14533159,38498067,5200089,20019851
6,기타수익,375774,1036412,1083572,2061889
7,기타비용,278122,778761,545721,1399810
8,지분법이익,80423,122114,4975,18398
9,금융수익,2610849,6435175,2303768,7369760
10,금융비용,2407343,5821426,2075981,6904942
11,법인세비용차감전순이익(손실),14914740,39491581,5970702,21165146
12,법인세비용,3721329,9559965,1432847,5527095
13,계속영업이익(손실),11193411,29931616,4537855,15638051
14,당기순이익(손실),11193411,29931616,4537855,15638051
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),11039771,29328245,4408790,15498474
17,    비지배지분에 귀속되는 당기순이익(손실),153640,603371,129065,139577
18,주당이익, , , , 
19,    기본주당이익(손실) (단위:원),80349,211936,31303,108728
20,    희석주당이익(손실) (단위:원),80349,211936,31303,108728
