,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 50 기,제 49 기,제 48 기
1,수익(매출액),243771415,239575376,201866745
2,매출원가,132394411,129290661,120277715
3,매출총이익,111377004,110284715,81589030
4,판매비와관리비,52490335,56639677,52348358
5,영업이익(손실),58886669,53645038,29240672
6,기타수익,1485037,3010657,3238261
7,기타비용,1142018,1419648,2463814
8,지분법이익,539845,201442,19501
9,금융수익,9999321,9737391,11385645
10,금융비용,8608896,8978913,10706613
11,법인세비용차감전순이익(손실),61159958,56195967,30713652
12,법인세비용,16815101,14009220,7987560
13,계속영업이익(손실),44344857,42186747,22726092
14,당기순이익(손실),44344857,42186747,22726092
15,당기순이익(손실)의 귀속, , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),43890877,41344569,22415655
17,    비지배지분에 귀속되는 당기순이익(손실),453980,842178,310437
18,주당이익, , , 
19,    기본주당이익(손실) (단위 : 원),6461,5997,3159
20,    희석주당이익(손실) (단위 : 원),6461,5997,3159
