,제 43 기          2011.01.01 부터 2011.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 45 기 반기,,제 44 기 반기,,제 44 기,제 43 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),7773811,14928752,5193420,10241881,23845285,13759043
4,기타포괄손익,1570334,2796212,-628685,-67550,-1717080,-887485
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-8393,-16991,8407,-73211,-504120,-385214
6,        순확정급여부채 재측정요소,-8393,-16991,8407,-73211,-504120,-385214
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1578727,2813203,-637092,5661,-1212960,-502271
8,        매도가능금융자산평가손익,574138,838906,-45363,650298,962184,-572028
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-13984,1389,-71387,-218134,-350491,-113898
10,        해외사업장환산외환차이,1018573,1972908,-520342,-426503,-1824653,183655
11,총포괄손익,9344145,17724964,4564735,10174331,22128205,12871558
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,9103315,17269552,4419677,9853222,21499343,12439116
14,    비지배지분,240830,455412,145058,321109,628862,432442
