,제 44 기          2012.01.01 부터 2012.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 46 기 3분기,,제 45 기 3분기,,제 45 기,제 44 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),4222345,18047567,8244736,23173488,30474764,23845285
4,기타포괄손익,-173415,-2452812,-2103311,692901,-1006838,-1717080
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-15366,-35973,-786,-17777,-213113,-504120
6,        순확정급여부채 재측정요소,-15366,-35973,-786,-17777,-213113,-504120
7,    후속적으로 당기손익으로 재분류되는 포괄손익,-158049,-2416839,-2102525,710678,-793725,-1212960
8,        매도가능금융자산평가손익,-292853,-562797,200941,1039847,186480,962184
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,22408,-61509,-10392,-9003,20756,-350491
10,        해외사업장환산외환차이,112396,-1792533,-2293074,-320166,-1000961,-1824653
11,총포괄손익,4048930,15594755,6141425,23866389,29467926,22128205
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,3977392,15400519,6023479,23293031,28837590,21499343
14,    비지배지분,71538,194236,117946,573358,630336,628862
