,제 45 기          2013.01.01 부터 2013.12.31 까지,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,(단위 : 백만원),,,,,,
1, ,제 47 기 3분기,,제 46 기 3분기,,제 46 기,제 45 기
2,,3개월,누적,3개월,누적,,
3,당기순이익(손실),5458559,15836671,4222345,18047567,23394358,30474764
4,기타포괄손익,1482827,1226800,-173415,-2452812,-1993414,-1006838
5,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-17309,-67240,-15366,-35973,-710318,-213113
6,        순확정급여부채 재측정요소,-17309,-67240,-15366,-35973,-710318,-213113
7,    후속적으로 당기손익으로 재분류되는 포괄손익,1500136,1294040,-158049,-2416839,-1283096,-793725
8,        매도가능금융자산평가손익,-339259,-818154,-292853,-562797,-232105,186480
9,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-1729,2037,22408,-61509,-128932,20756
10,        해외사업장환산외환차이,1841124,2110157,112396,-1792533,-922059,-1000961
11,총포괄손익,6941386,17063471,4048930,15594755,21400944,29467926
12,포괄손익의 귀속, , , , , , 
13,    지배기업 소유주지분,6735178,16632865,3977392,15400519,20990732,28837590
14,    비지배지분,206208,430606,71538,194236,410212,630336
