,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 47 기,제 46 기,제 45 기
1,당기순이익(손실),19060144,23394358,30474764
2,기타포괄손익,76071,-1993414,-1006838
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,263978,-710318,-213113
4,        순확정급여부채 재측정요소,263978,-710318,-213113
5,    후속적으로 당기손익으로 재분류되는 포괄손익,-187907,-1283096,-793725
6,        매도가능금융자산평가손익,-414961,-232105,186480
7,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-41261,-128932,20756
8,        해외사업장환산외환차이,268315,-922059,-1000961
9,총포괄손익,19136215,21400944,29467926
10,포괄손익의 귀속, , , 
11,    지배기업 소유주지분,18804189,20990732,28837590
12,    비지배지분,332026,410212,630336
