, ,제 49 기 반기말,제 48 기말
0,자산, , 
1,    유동자산,132172681,141429704
2,        현금및현금성자산,29007086,32111442
3,        단기금융상품,37796229,52432411
4,        단기매도가능금융자산,3698772,3638460
5,        매출채권,27585923,24279211
6,        미수금,3197546,3521197
7,        선급금,1757708,1439938
8,        선급비용,3705124,3502083
9,        재고자산,23020912,18353503
10,        기타유동자산,1521698,1315653
11,        매각예정분류자산,881683,835806
12,    비유동자산,145416755,120744620
13,        장기매도가능금융자산,7565787,6804276
14,        관계기업 및 공동기업 투자,5814880,5837884
15,        유형자산,103695240,91473041
16,        무형자산,15221308,5344020
17,        장기선급비용,3200623,3834831
18,        순확정급여자산,302335,557091
19,        이연법인세자산,5368206,5321450
20,        기타비유동자산,4248376,1572027
21,    자산총계,277589436,262174324
22,부채, , 
23,    유동부채,58468431,54704095
24,        매입채무,9075774,6485039
25,        단기차입금,13767140,12746789
26,        미지급금,12878541,11525910
27,        선수금,1230965,1358878
28,        예수금,792770,685028
29,        미지급비용,9942883,12527300
30,        미지급법인세,3472232,2837353
31,        유동성장기부채,26585,1232817
32,        충당부채,6404954,4597417
33,        기타유동부채,445164,351176
34,        매각예정분류부채,431423,356388
35,    비유동부채,18415257,14507196
36,        사채,1000508,58542
37,        장기차입금,1917571,1244238
38,        장기미지급금,1927517,3317054
39,        순확정급여부채,540759,173656
40,        이연법인세부채,9803623,7293514
41,        장기충당부채,571930,358126
42,        기타비유동부채,2653349,2062066
43,    부채총계,76883688,69211291
44,자본, , 
45,    지배기업 소유주지분,193654461,186424328
46,    자본금,897514,897514
47,        우선주자본금,119467,119467
48,        보통주자본금,778047,778047
49,    주식발행초과금,4403893,4403893
50,    이익잉여금(결손금),199223959,193086317
51,    기타자본항목,-10870453,-11934586
52,    매각예정분류기타자본항목,-452,-28810
53,    비지배지분,7051287,6538705
54,    자본총계,200705748,192963033
55,자본과부채총계,277589436,262174324
