, ,제 49 기 반기,Unnamed: 2,제 48 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,당기순이익(손실),11053851,18738205,5847393,11100196
2,기타포괄손익,2968436,-1963613,118124,-43071
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,-18945,-58159,-25992,-48412
4,        순확정급여부채 재측정요소,-17753,-56851,-24262,-47045
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-1192,-1308,-1730,-1367
6,    후속적으로 당기손익으로 재분류되는 포괄손익,2987381,-1905454,144116,5341
7,        매도가능금융자산평가손익,340151,505306,-44680,29915
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,69582,14230,-22907,-134849
9,        해외사업장환산외환차이,2628939,-2380295,211703,110275
10,        파생상품평가손익,-51291,-44695, , 
11,총포괄손익,14022287,16774592,5965517,11057125
12,포괄손익의 귀속, , , , 
13,    지배기업 소유주지분,13675417,16266746,5956247,11026386
14,    비지배지분,346870,507846,9270,30739
