, ,제 50 기 반기,Unnamed: 2,제 49 기 반기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),58482658,119046372,61000537,111548063
2,매출원가,31274597,63184069,32399829,60555426
3,매출총이익,27208061,55862303,28600708,50992637
4,판매비와관리비,12339026,25351098,14534161,27027729
5,영업이익(손실),14869035,30511205,14066547,23964908
6,기타수익,367588,738564,344215,660638
7,기타비용,222409,467672,223405,500639
8,지분법이익,106307,170671,22353,41691
9,금융수익,3119060,5402260,1727174,3824326
10,금융비용,2832745,4772285,1524619,3414083
11,법인세비용차감전순이익(손실),15406836,31582743,14412265,24576841
12,법인세비용,4363424,8850787,3358414,5838636
13,계속영업이익(손실),11043412,22731956,11053851,18738205
14,당기순이익(손실),11043412,22731956,11053851,18738205
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),10981547,22593380,10799942,18288474
17,    비지배지분에 귀속되는 당기순이익(손실),61865,138576,253909,449731
18,주당이익, , , , 
19,    기본주당이익(손실) (단위 : 원),1617,3325,1560,2632
20,    희석주당이익(손실) (단위 : 원),1617,3325,1560,2632
