,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 49 기 1분기말,제 48 기말,제 47 기말
1,자산, , , 
2,    유동자산,129284204,141429704,124814725
3,        현금및현금성자산,27562938,32111442,22636744
4,        단기금융상품,41775404,52432411,44228800
5,        단기매도가능금융자산,4063945,3638460,4627530
6,        매출채권,22340688,24279211,25168026
7,        미수금,3557039,3521197,3352663
8,        선급금,1662898,1439938,1706003
9,        선급비용,4149992,3502083,3170632
10,        재고자산,21857598,18353503,18811794
11,        기타유동자산,1512919,1315653,1035460
12,        매각예정분류자산,800783,835806,77073
13,    비유동자산,134933168,120744620,117364796
14,        장기매도가능금융자산,6967149,6804276,8332480
15,        관계기업 및 공동기업 투자,5701362,5837884,5276348
16,        유형자산,95322418,91473041,86477110
17,        무형자산,14775930,5344020,5396311
18,        장기선급비용,3586776,3834831,4294401
19,        순확정급여자산,469696,557091, 
20,        이연법인세자산,5277254,5321450,5589108
21,        기타비유동자산,2832583,1572027,1999038
22,    자산총계,264217372,262174324,242179521
23,부채, , , 
24,    유동부채,56843132,54704095,50502909
25,        매입채무,9569549,6485039,6187291
26,        단기차입금,9519010,12746789,11155425
27,        미지급금,16072700,11525910,8864378
28,        선수금,1101841,1358878,1343432
29,        예수금,551452,685028,992733
30,        미지급비용,9214385,12527300,11628739
31,        미지급법인세,3422182,2837353,3401625
32,        유동성장기부채,1139042,1232817,221548
33,        충당부채,5535077,4597417,6420603
34,        기타유동부채,344821,351176,287135
35,        매각예정분류부채,373073,356388, 
36,    비유동부채,17556285,14507196,12616807
37,        사채,950273,58542,1230448
38,        장기차입금,1640979,1244238,266542
39,        장기미지급금,2580785,3317054,3041687
40,        순확정급여부채,469855,173656,358820
41,        이연법인세부채,8981421,7293514,5154792
42,        장기충당부채,412552,358126,522378
43,        기타비유동부채,2520420,2062066,2042140
44,    부채총계,74399417,69211291,63119716
45,자본, , , 
46,    지배기업 소유주지분,183119607,186424328,172876767
47,    자본금,897514,897514,897514
48,        우선주자본금,119467,119467,119467
49,        보통주자본금,778047,778047,778047
50,    주식발행초과금,4403893,4403893,4403893
51,    이익잉여금(결손금),196724497,193086317,185132014
52,    기타자본항목,-18892482,-11934586,-17580451
53,    매각예정분류기타자본항목,-13815,-28810,23797
54,    비지배지분,6698348,6538705,6183038
55,    자본총계,189817955,192963033,179059805
56,자본과부채총계,264217372,262174324,242179521
