, ,제 51 기 3분기,Unnamed: 2,제 50 기 3분기,Unnamed: 4
0,,3개월,누적,3개월,누적
1,수익(매출액),62003471,170516121,65459993,184506365
2,매출원가,39993890,108685026,35194358,98378427
3,매출총이익,22009581,61831095,30265635,86127938
4,판매비와관리비,14231689,41222856,12690770,38041868
5,영업이익(손실),7777892,20608239,17574865,48086070
6,기타수익,496993,1178934,176612,915176
7,기타비용,305145,875159,152354,620026
8,지분법이익,110499,252672,118455,289126
9,금융수익,2796372,7864491,2501153,7903413
10,금융비용,2255883,6316107,2249387,7021672
11,법인세비용차감전순이익(손실),8620728,22713070,17969344,49552087
12,법인세비용,2333064,6201245,4818629,13669416
13,계속영업이익(손실),6287664,16511825,13150715,35882671
14,당기순이익(손실),6287664,16511825,13150715,35882671
15,당기순이익(손실)의 귀속, , , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),6105039,16277059,12967428,35560808
17,    비지배지분에 귀속되는 당기순이익(손실),182625,234766,183287,321863
18,주당이익, , , , 
19,    기본주당이익(손실) (단위 : 원),899,2396,1909,5234
20,    희석주당이익(손실) (단위 : 원),899,2396,1909,5234
