, ,제 51 기 3분기말,제 50 기말
0,자산, , 
1,    유동자산,186042134,174697424
2,        현금및현금성자산,26604994,30340505
3,        단기금융상품,69476971,65893797
4,        단기상각후원가금융자산,4021901,2703693
5,        단기당기손익-공정가치금융자산,1842611,2001948
6,        매출채권,40367204,33867733
7,        미수금,3510901,3080733
8,        선급금,1665164,1361807
9,        선급비용,4845137,4136167
10,        재고자산,30908762,28984704
11,        기타유동자산,2798489,2326337
12,    비유동자산,167343851,164659820
13,        상각후원가금융자산,134641,238309
14,        기타포괄손익-공정가치금융자산,8728038,7301351
15,        당기손익-공정가치금융자산,962889,775427
16,        관계기업 및 공동기업 투자,7536935,7313206
17,        유형자산,116855571,115416724
18,        무형자산,15705674,14891598
19,        장기선급비용,4178381,5009679
20,        순확정급여자산,29506,562356
21,        이연법인세자산,5461996,5468002
22,        기타비유동자산,7750220,7683168
23,    자산총계,353385985,339357244
24,부채, , 
25,    유동부채,63303192,69081510
26,        매입채무,11422269,8479916
27,        단기차입금,12330248,13586660
28,        미지급금,10017386,10711536
29,        선수금,844237,820265
30,        예수금,937500,951254
31,        미지급비용,17179210,20339687
32,        미지급법인세,2318190,8720050
33,        유동성장기부채,792467,33386
34,        충당부채,6206070,4384038
35,        기타유동부채,1255615,1054718
36,    비유동부채,26640549,22522557
37,        사채,1008058,961972
38,        장기차입금,2002565,85085
39,        장기미지급금,2408246,3194043
40,        순확정급여부채,724085,504064
41,        이연법인세부채,17185000,15162523
42,        장기충당부채,1054683,663619
43,        기타비유동부채,2257912,1951251
44,    부채총계,89943741,91604067
45,자본, , 
46,    지배기업 소유주지분,255403450,240068993
47,        자본금,897514,897514
48,            우선주자본금,119467,119467
49,            보통주자본금,778047,778047
50,        주식발행초과금,4403893,4403893
51,        이익잉여금(결손금),251761348,242698956
52,        기타자본항목,-1659305,-7931370
53,    비지배지분,8038794,7684184
54,    자본총계,263442244,247753177
55,자본과부채총계,353385985,339357244
