,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 48 기,제 47 기,제 46 기
1,수익(매출액),201866745,200653482,206205987
2,매출원가,120277715,123482118,128278800
3,매출총이익,81589030,77171364,77927187
4,판매비와관리비,52348358,50757922,52902116
5,영업이익(손실),29240672,26413442,25025071
6,기타수익,3238261,1685947,3801357
7,기타비용,2463814,3723434,2259737
8,지분법이익,19501,1101932,342516
9,금융수익,11385645,10514879,8259829
10,금융비용,10706613,10031771,7294002
11,법인세비용차감전순이익(손실),30713652,25960995,27875034
12,법인세비용,7987560,6900851,4480676
13,계속영업이익(손실),22726092,19060144,23394358
14,당기순이익(손실),22726092,19060144,23394358
15,당기순이익(손실)의 귀속, , , 
16,    지배기업의 소유주에게 귀속되는 당기순이익(손실),22415655,18694628,23082499
17,    비지배지분에 귀속되는 당기순이익(손실),310437,365516,311859
18,주당이익, , , 
19,    기본주당이익(손실) (단위:원),157967,126305,153105
20,    희석주당이익(손실) (단위:원),157967,126303,153096
