,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 48 기,제 47 기,제 46 기
1,당기순이익(손실),22726092,19060144,23394358
2,기타포괄손익,1991400,76071,-1993414
3,    후속적으로 당기손익으로 재분류되지 않는 포괄손익,1014040,288047,-720945
4,        순확정급여부채 재측정요소,963602,263978,-710318
5,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,50438,24069,-10627
6,    후속적으로 당기손익으로 재분류되는 포괄손익,977360,-211976,-1272469
7,        매도가능금융자산평가손익,-23839,-414961,-232105
8,        관계기업 및 공동기업의 기타포괄손익에 대한 지분,-130337,-65330,-118305
9,        해외사업장환산외환차이,1131536,268315,-922059
10,총포괄손익,24717492,19136215,21400944
11,포괄손익의 귀속, , , 
12,    지배기업 소유주지분,24310814,18804189,20990732
13,    비지배지분,406678,332026,410212
