,(단위 : 백만원),Unnamed: 1,Unnamed: 2,Unnamed: 3
0, ,제 50 기,제 49 기,제 48 기
1,자산, , , 
2,    유동자산,174697424,146982464,141429704
3,        현금및현금성자산,30340505,30545130,32111442
4,        단기금융상품,65893797,49447696,52432411
5,        단기매도가능금융자산, ,3191375,3638460
6,        단기상각후원가금융자산,2703693, , 
7,        단기당기손익-공정가치금융자산,2001948, , 
8,        매출채권,33867733,27695995,24279211
9,        미수금,3080733,4108961,3521197
10,        선급금,1361807,1753673,1439938
11,        선급비용,4136167,3835219,3502083
12,        재고자산,28984704,24983355,18353503
13,        기타유동자산,2326337,1421060,1315653
14,        매각예정분류자산, , ,835806
15,    비유동자산,164659820,154769626,120744620
16,        장기매도가능금융자산, ,7752180,6804276
17,        만기보유금융자산, ,106751, 
18,        상각후원가금융자산,238309, , 
19,        기타포괄손익-공정가치금융자산,7301351, , 
20,        당기손익-공정가치금융자산,775427, , 
21,        관계기업 및 공동기업 투자,7313206,6802351,5837884
22,        유형자산,115416724,111665648,91473041
23,        무형자산,14891598,14760483,5344020
24,        장기선급비용,5009679,3434375,3834831
25,        순확정급여자산,562356,825892,557091
26,        이연법인세자산,5468002,5061687,5321450
27,        기타비유동자산,7683168,4360259,1572027
28,    자산총계,339357244,301752090,262174324
29,부채, , , 
30,    유동부채,69081510,67175114,54704095
31,        매입채무,8479916,9083907,6485039
32,        단기차입금,13586660,15767619,12746789
33,        미지급금,10711536,13899633,11525910
34,        선수금,820265,1249174,1358878
35,        예수금,951254,793582,685028
36,        미지급비용,20339687,13996273,12527300
37,        미지급법인세,8720050,7408348,2837353
38,        유동성장기부채,33386,278619,1232817
39,        충당부채,4384038,4294820,4597417
40,        기타유동부채,1054718,403139,351176
41,        매각예정분류부채, , ,356388
42,    비유동부채,22522557,20085548,14507196
43,        사채,961972,953361,58542
44,        장기차입금,85085,1814446,1244238
45,        장기미지급금,3194043,2043729,3317054
46,        순확정급여부채,504064,389922,173656
47,        이연법인세부채,15162523,11710781,7293514
48,        장기충당부채,663619,464324,358126
49,        기타비유동부채,1951251,2708985,2062066
50,    부채총계,91604067,87260662,69211291
51,자본, , , 
52,    지배기업 소유주지분,240068993,207213416,186424328
53,        자본금,897514,897514,897514
54,            우선주자본금,119467,119467,119467
55,            보통주자본금,778047,778047,778047
56,        주식발행초과금,4403893,4403893,4403893
57,        이익잉여금,242698956,215811200,193086317
58,        기타자본항목,-7931370,-13899191,-11934586
59,        매각예정분류기타자본항목, , ,-28810
60,    비지배지분,7684184,7278012,6538705
61,    자본총계,247753177,214491428,192963033
62,자본과부채총계,339357244,301752090,262174324
